기간,자치구,동,전체세대수,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대이상
2021.3/4,마포구,아현동,"10,432","3,207","2,479","2,435","1,898",318,65,25,1,3,1
2021.3/4,양천구,목1동,"10,441","1,712","1,889","2,884","3,262",550,104,28,7,5,0
2021.3/4,양천구,목2동,"13,338","5,169","3,120","2,417","2,062",435,97,28,7,1,2
2021.3/4,양천구,목3동,"10,020","3,940","2,491","1,835","1,386",267,71,24,4,1,1
2021.3/4,양천구,목4동,"10,164","3,273","1,993","2,096","2,231",452,86,24,8,0,1
2021.3/4,양천구,신월1동,"10,230","4,696","2,497","1,669","1,065",252,42,7,1,1,0
2021.3/4,양천구,신월2동,"8,494","2,596","2,127","1,793","1,500",369,80,21,5,0,3
2021.3/4,양천구,신월3동,"7,927","4,055","1,780","1,091",722,224,43,6,2,1,3
2021.3/4,양천구,신월4동,"6,899","1,647","1,764","1,621","1,416",353,75,18,4,1,0
2021.3/4,양천구,신월5동,"6,481","2,418","1,562","1,234",957,239,58,11,1,0,1
2021.3/4,양천구,신월6동,"5,296","1,236","1,346","1,287","1,177",215,30,5,0,0,0
2021.3/4,양천구,신월7동,"9,232","3,421","2,693","1,698","1,124",229,50,12,5,0,0
2021.3/4,양천구,신정1동,"7,118","1,405","1,340","1,727","2,167",391,65,17,4,0,2
2021.3/4,양천구,신정2동,"7,019","1,589","1,386","1,551","2,019",408,51,7,5,2,1
2021.3/4,양천구,신정3동,"19,266","5,132","4,714","4,152","4,048","1,005",173,28,11,1,2
2021.3/4,양천구,신정6동,"8,285","1,188","1,638","2,330","2,609",420,75,12,8,4,1
2021.3/4,양천구,신정7동,"11,500","3,143","2,771","2,516","2,519",443,84,16,8,0,0
2021.3/4,양천구,목5동,"13,467","1,764","2,394","3,730","4,614",767,140,40,11,6,1
2021.3/4,양천구,신정4동,"16,104","7,444","3,725","2,524","1,845",449,86,20,7,2,2
2021.3/4,강서구,염창동,"16,301","4,637","3,288","3,815","3,793",646,97,22,3,0,0
2021.3/4,강서구,등촌1동,"13,541","7,841","2,551","1,643","1,214",234,44,11,2,1,0
2021.3/4,강서구,등촌2동,"8,670","2,943","2,151","1,756","1,366",346,79,25,2,2,0
2021.3/4,강서구,등촌3동,"15,079","6,563","3,972","2,398","1,747",323,61,10,3,2,0
2021.3/4,강서구,화곡본동,"17,205","8,261","3,928","2,589","1,881",435,76,21,10,3,1
2021.3/4,강서구,화곡2동,"8,197","3,171","2,117","1,520","1,040",289,45,11,4,0,0
2021.3/4,강서구,화곡3동,"9,517","3,582","2,318","1,778","1,384",344,94,12,3,2,0
2021.3/4,강서구,화곡4동,"9,744","3,986","2,546","1,714","1,158",264,60,13,2,0,1
2021.3/4,강서구,화곡6동,"12,442","6,184","2,590","1,860","1,406",304,72,17,4,3,2
2021.3/4,강서구,화곡8동,"11,761","4,915","3,129","2,019","1,295",322,63,15,2,1,0
